epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0379,1.13409,4.11913,1.5379,0.00364,0.70829,0.09038,0.08285,0.73316,3.39238,1.34555,9.996e-05,9.996e-05,9.996e-05
2,18.5063,1.13856,3.83445,1.54986,0.00385,0.74551,0.12865,0.10826,0.79042,3.27003,1.33525,0.000193394,0.000193394,0.000193394
3,27.6318,1.15775,3.68268,1.53314,0.00426,0.7546,0.13289,0.11836,0.90671,3.10451,1.36308,0.000272691,0.000272691,0.000272691
4,36.0351,1.11291,3.51988,1.48882,0.94904,0.03333,0.15681,0.14332,1.01147,3.07657,1.43449,0.000337851,0.000337851,0.000337851
5,44.8568,1.15451,3.43657,1.54019,0.89831,0.0501,0.14955,0.11094,1.20681,3.26924,1.63263,0.000388873,0.000388873,0.000388873
6,57.9631,1.2142,4.02748,1.65162,1,0.02871,0.15982,0.1109,1.47225,3.35813,1.87507,0.000425758,0.000425758,0.000425758
7,65.7963,1.13091,3.94676,1.5539,0.34685,0.18514,0.21513,0.18395,1.18959,3.0018,1.6729,0.000431256,0.000431256,0.000431256
8,74.4235,1.07555,3.75217,1.49716,0.42347,0.2753,0.26734,0.23744,1.07913,2.77879,1.52878,0.000384132,0.000384132,0.000384132
9,82.6085,1.09399,3.56566,1.49483,0.35322,0.33596,0.26798,0.24349,1.08254,2.68009,1.51811,0.000337008,0.000337008,0.000337008
10,90.9648,1.06789,3.45014,1.46899,0.39333,0.3408,0.32544,0.2972,1.05435,2.50727,1.46791,0.000289884,0.000289884,0.000289884
11,99.3505,1.01407,3.29782,1.41965,0.59514,0.31174,0.35656,0.32624,1.00441,2.37154,1.40378,0.00024276,0.00024276,0.00024276
12,107.896,0.98864,3.22245,1.39942,0.59611,0.32426,0.36753,0.34361,0.99754,2.24563,1.39128,0.000195636,0.000195636,0.000195636
13,115.812,0.98824,3.07382,1.37413,0.62016,0.33124,0.36884,0.34654,0.94488,2.19933,1.35345,0.000148512,0.000148512,0.000148512
14,123.655,0.94776,3.03349,1.36142,0.58824,0.34748,0.37899,0.36394,0.88995,2.22764,1.30821,0.000101388,0.000101388,0.000101388
15,131.94,0.95026,3.03844,1.35465,0.60762,0.34398,0.40292,0.38525,0.87352,2.12219,1.29864,5.4264e-05,5.4264e-05,5.4264e-05
