epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.26981,1.13409,4.11913,1.5379,0.00364,0.70829,0.09038,0.08285,0.73316,3.39238,1.34555,9.996e-05,9.996e-05,9.996e-05
2,15.9945,1.12243,3.83499,1.54146,0.00371,0.72889,0.13612,0.11483,0.84178,3.26143,1.38451,0.00020296,0.00020296,0.00020296
3,24.7076,1.17192,3.67613,1.54388,0.00391,0.76778,0.1394,0.11932,0.89065,3.18241,1.37493,0.000301719,0.000301719,0.000301719
4,32.9159,1.1238,3.53729,1.51188,0.64697,0.08082,0.14854,0.12995,0.99217,3.1031,1.40657,0.000396237,0.000396237,0.000396237
5,41.6126,1.17295,3.45055,1.54811,0.82388,0.05556,0.15124,0.11915,1.02569,3.0208,1.36156,0.000486514,0.000486514,0.000486514
6,49.8334,1.11643,3.26067,1.44234,0.40373,0.16535,0.17997,0.14767,1.14113,2.80953,1.45268,0.000572549,0.000572549,0.000572549
7,58.0344,1.14752,3.26977,1.46202,0.44309,0.19756,0.25276,0.21863,0.98461,2.51048,1.37816,0.000629177,0.000629177,0.000629177
8,66.5543,1.09909,3.06825,1.42684,0.32105,0.37034,0.29235,0.26165,1.00732,2.50856,1.42617,0.00061504,0.00061504,0.00061504
9,74.6362,1.09516,2.93417,1.42711,0.34549,0.32281,0.27676,0.25739,1.0643,3.18719,1.50183,0.000600902,0.000600902,0.000600902
10,83.3313,1.14615,2.91852,1.45736,0.3707,0.30161,0.28118,0.24947,1.14165,3.24681,1.55341,0.000586765,0.000586765,0.000586765
11,91.7774,1.15868,2.87378,1.44872,0.4023,0.29954,0.34749,0.31203,1.09788,2.40632,1.49138,0.000572628,0.000572628,0.000572628
12,100.585,1.05585,2.68002,1.36729,0.48391,0.31369,0.34401,0.30781,1.00626,2.33046,1.39562,0.000558491,0.000558491,0.000558491
13,109.138,1.06242,2.66703,1.38971,0.53022,0.28741,0.31606,0.28064,1.10079,2.3245,1.4123,0.000544354,0.000544354,0.000544354
14,116.952,1.0717,2.61284,1.37641,0.36599,0.33041,0.29886,0.24592,1.25489,2.52634,1.5004,0.000530216,0.000530216,0.000530216
15,125.307,1.05775,2.53748,1.35665,0.59262,0.35301,0.40004,0.35673,0.99275,2.21613,1.33858,0.000516079,0.000516079,0.000516079
16,133.959,1.0539,2.4606,1.36166,0.58729,0.36464,0.43212,0.37719,0.99434,2.19364,1.38576,0.000501942,0.000501942,0.000501942
17,142.578,1.02593,2.37804,1.34326,0.61442,0.40758,0.44901,0.39158,0.97774,2.09568,1.35334,0.000487805,0.000487805,0.000487805
18,151.009,1.03672,2.44627,1.33957,0.63889,0.35249,0.40861,0.35413,1.03191,2.21372,1.42183,0.000473668,0.000473668,0.000473668
19,159.796,1.08036,2.48548,1.37673,0.86389,0.34856,0.42396,0.38958,0.99033,2.02255,1.39858,0.00045953,0.00045953,0.00045953
20,168.32,0.96733,2.22361,1.28481,0.7136,0.39406,0.44476,0.40151,0.96573,1.94505,1.36905,0.000445393,0.000445393,0.000445393
21,176.95,0.95163,2.15041,1.2747,0.80308,0.36255,0.44959,0.40842,0.99414,1.92763,1.39336,0.000431256,0.000431256,0.000431256
22,185.239,0.94539,2.12404,1.28551,0.68621,0.42364,0.46922,0.43211,0.95582,1.82398,1.36244,0.000417119,0.000417119,0.000417119
23,193.615,0.93344,2.08507,1.23649,0.63173,0.50265,0.50802,0.45939,0.89674,1.78189,1.30772,0.000402982,0.000402982,0.000402982
24,201.886,0.85478,1.93183,1.20274,0.85877,0.45194,0.56213,0.50733,0.89704,1.7391,1.33498,0.000388844,0.000388844,0.000388844
25,209.901,0.8678,1.87102,1.2297,0.72677,0.51322,0.56334,0.49494,0.89059,1.86811,1.33889,0.000374707,0.000374707,0.000374707
26,218.146,0.83526,1.82878,1.19348,0.67735,0.43055,0.46525,0.43678,0.96861,1.86055,1.38356,0.00036057,0.00036057,0.00036057
27,226.808,0.85136,1.82328,1.17176,0.63871,0.4965,0.52744,0.4937,0.88069,1.64827,1.29865,0.000346433,0.000346433,0.000346433
28,235.184,0.84691,1.82716,1.16537,0.82933,0.4672,0.55828,0.4896,0.91439,1.57848,1.31482,0.000332296,0.000332296,0.000332296
29,243.961,0.77411,1.68937,1.13068,0.79687,0.46938,0.56697,0.48618,0.9604,1.61567,1.33533,0.000318158,0.000318158,0.000318158
30,252.982,0.8505,1.74091,1.19612,0.73798,0.44662,0.54014,0.48232,0.9525,1.6832,1.3498,0.000304021,0.000304021,0.000304021
31,261.909,0.8029,1.65277,1.16682,0.75126,0.47905,0.52262,0.47529,0.88034,1.64416,1.32979,0.000289884,0.000289884,0.000289884
32,271.019,0.76748,1.62258,1.15101,0.71179,0.54087,0.58957,0.53022,0.91845,1.55658,1.32908,0.000275747,0.000275747,0.000275747
33,279.587,0.80214,1.67538,1.15839,0.6951,0.48691,0.55669,0.49006,0.98952,1.70381,1.36847,0.00026161,0.00026161,0.00026161
34,288.752,0.82711,1.63669,1.17031,0.7505,0.4793,0.54889,0.4783,0.91808,1.65638,1.34765,0.000247472,0.000247472,0.000247472
35,297.814,0.7042,1.45648,1.10308,0.76649,0.50647,0.56273,0.50823,0.85368,1.6185,1.30275,0.000233335,0.000233335,0.000233335
36,306.706,0.71851,1.48577,1.11801,0.87985,0.45515,0.52963,0.48256,0.87213,1.69739,1.29711,0.000219198,0.000219198,0.000219198
